id	category	venue	year	title	authors	identifier	relpath	notes	extra_urls
01	direct	CRYPTO	2019	Efficient Pseudorandom Correlation Generators: Silent OT Extension and More	Elette Boyle; Geoffroy Couteau; Niv Gilboa; Yuval Ishai; Lisa Kohl; Peter Scholl	ePrint 2019/448	01_direct_pcg_pcf/01_CRYPTO_2019_Efficient_Pseudorandom_Correlation_Generators_Silent_OT_Extension_and_More.pdf	Foundational flagship PCG paper.	https://ntt-research.com/wp-content/uploads/2022/07/Efficient-Pseudorandom-Correlation-Generators-Silent-OT-Extension-and-More.pdf
02	direct	CRYPTO	2020	Efficient Pseudorandom Correlation Generators from Ring-LPN	Elette Boyle; Geoffroy Couteau; Niv Gilboa; Yuval Ishai; Lisa Kohl; Peter Scholl	ePrint 2022/1035	01_direct_pcg_pcf/02_CRYPTO_2020_Efficient_Pseudorandom_Correlation_Generators_from_Ring-LPN.pdf	Uses the later full ePrint/author version associated with the CRYPTO 2020 paper.	https://cs.idc.ac.il/~elette/Ring-LPN.pdf
03	direct	EUROCRYPT	2021	Breaking the Circuit-Size Barrier for Secure Computation under Quasi-Polynomial LPN	Geoffroy Couteau; Pierre Meyer	ePrint 2021/943	01_direct_pcg_pcf/03_EUROCRYPT_2021_Breaking_the_Circuit-Size_Barrier_under_Quasi-Polynomial_LPN.pdf	General low-locality correlation generation.	
04	direct	EUROCRYPT	2021	The Rise of Paillier: Homomorphic Secret Sharing and Public-Key Silent OT	Claudio Orlandi; Peter Scholl; Sophia Yakoubov	ePrint 2021/262	01_direct_pcg_pcf/04_EUROCRYPT_2021_The_Rise_of_Paillier_Public-Key_Silent_OT.pdf	Public-key PCF/silent OT and VOLE.	
05	direct	CRYPTO	2021	Silver: Silent VOLE and Oblivious Transfer from Hardness of Decoding Structured LDPC Codes	Geoffroy Couteau; Peter Rindal; Srinivasan Raghuraman	ePrint 2021/1150	01_direct_pcg_pcf/05_CRYPTO_2021_Silver_Silent_VOLE_and_OT.pdf	BROKEN CONSTRUCTION: retained for historical and cryptanalytic study only.	
06	direct	CRYPTO	2022	SoftSpokenOT: Quieter OT Extension from Small-Field Silent VOLE in the Minicrypt Model	Lawrence Roy	ePrint 2022/192	01_direct_pcg_pcf/06_CRYPTO_2022_SoftSpokenOT.pdf	High-performance silent OT extension.	
07	direct	CRYPTO	2022	Correlated Pseudorandomness from Expand-Accumulate Codes	Elette Boyle; Geoffroy Couteau; Niv Gilboa; Yuval Ishai; Lisa Kohl; Nicolas Resch; Peter Scholl	ePrint 2022/1014	01_direct_pcg_pcf/07_CRYPTO_2022_Correlated_Pseudorandomness_from_Expand-Accumulate_Codes.pdf	Expand-Accumulate code route.	https://ir.cwi.nl/pub/32492/32492.pdf
08	direct	CRYPTO	2022	Programmable Distributed Point Functions	Elette Boyle; Niv Gilboa; Yuval Ishai; Victor I. Kolobov	ePrint 2022/1060	01_direct_pcg_pcf/08_CRYPTO_2022_Programmable_Distributed_Point_Functions.pdf	Derives an asymmetric one-short-key PCG.	
09	direct	CRYPTO	2022	An Algebraic Framework for Silent Preprocessing with Trustless Setup and Active Security	Damiano Abram; Ivan Damgard; Claudio Orlandi; Peter Scholl	ePrint 2022/363	01_direct_pcg_pcf/09_CRYPTO_2022_Algebraic_Framework_for_Silent_Preprocessing.pdf	Trustless public-key setup and active security.	
10	direct	CRYPTO	2022	MozZ2karella: Efficient Vector-OLE and Zero-Knowledge Proofs Over Z_{2^k}	Carsten Baum; Lennart Braun; Alexander Munch-Hansen; Peter Scholl	ePrint 2022/819	01_direct_pcg_pcf/10_CRYPTO_2022_MozZ2karella_Vector-OLE_over_Z2k.pdf	Maliciously secure VOLE extension over Z_{2^k}.	
11	direct	EUROCRYPT	2022	Distributed (Correlation) Samplers: How to Remove a Trusted Dealer in One Round	Damiano Abram; Peter Scholl; Sophia Yakoubov	ePrint 2022/535	01_direct_pcg_pcf/11_EUROCRYPT_2022_Distributed_Correlation_Samplers.pdf	General one-round distributed samplers/public-key PCF.	
12	direct	EUROCRYPT	2023	Oblivious Transfer with Constant Computational Overhead	Elette Boyle; Geoffroy Couteau; Niv Gilboa; Yuval Ishai; Lisa Kohl; Nicolas Resch; Peter Scholl	ePrint 2023/817	01_direct_pcg_pcf/12_EUROCRYPT_2023_Oblivious_Transfer_with_Constant_Computational_Overhead.pdf	Constant-computation-overhead bit-OT PCG.	https://ir.cwi.nl/pub/33193/33193.pdf
13	direct	CRYPTO	2023	Correlated Pseudorandomness from the Hardness of Quasi-Abelian Decoding	Maxime Bombar; Geoffroy Couteau; Alain Couvreur; Clement Ducros	ePrint 2023/845	01_direct_pcg_pcf/13_CRYPTO_2023_Correlated_Pseudorandomness_from_Hardness_of_Quasi-Abelian_Decoding.pdf	Original QA-SD parameters are affected by later practical cryptanalysis.	https://arxiv.org/pdf/2306.03488;;https://hal.science/hal-04265638v1/document
